finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
tpt140515k1-elec cb tripped ext horn h78 14.05.2024 19:51:37 ma. pratama 581073 (s165011),['tpt140515k1-elec cb tripped ext horn h78'],[0.0],['dps1t1zz'],0
tpt140593j1-during tr chk found all tpis,['tpt140593j1-during tr chk found all tpis'],[2.0],['cgk3t3e2'],0
tpt150241k1-satcom fault 15.02.2024 19:36:05 pi_ecc (pi_ecc) defect symptoms:- satcom fault action taken:- pfr chk msg higain antena top/sdu 1 cls 1 bite test sdu 1 result esu /hsdu 1 class 3. dt repetitiv problem and need deep ts item insert to hil ref,['tpt150241k1-satcom fault'],[0.0],['cgk3t3zz'],nan
tpt150368j1-lower du blank 15.03.2023 21:08:02 martandang eka suranata (g580019),['tpt150368j1-lower du blank'],[2.0],['cgk3t3zz'],0
tpt160130k1-gps 2 fault 16.01.2024 17:13:01 pi_ecc (pi_ecc) defect symptoms:- gps 2 fault action taken:- system test of mmr 2 result mmr 2. swap mmr to mmr 1 fault move to mmr 1. and conform mmr was bad. back to original. due to cgk nil spare ref mel 34-,['tpt160130k1-gps 2 fault'],[0.0],['cgk3t3zz'],nan
tpt160171j1-maint ref cml c40 water fau 16.01.2023 10:29:28 af. kristian 532763 (s167001),['tpt160171j1-maint  ref cml c40 water fau'],[5.0],['cgk3t3zz'],0
tpt160443k1-aft obs hand mike sometimes 17.04.2024 11:18:23 ma. pratama 581073 (s165004),['tpt160443k1-aft obs hand mike sometimes'],[0.0],['hkg1t1zz'],nan
tpt160524k1-reverser engine 1 fault afte 16.05.2024 18:18:55 af. kristian 532763 (s167011),['tpt160524k1-reverser engine 1 fault afte'],[2.0],['pvg1t1zz'],nan
tpt160527k1-during preflight found brake 16.05.2024 18:03:15 af. kristian 532763 (s167011),['tpt160527k1-during preflight found brake'],[1.0],['cgk3t3zz'],nan
tpt160914f2-prim 3 fault after cross cha 21.09.2019 15:56:06 dh. lesmana 580815 (s165052),['tpt160914f2-prim 3 fault after cross cha'],[0.0],['dps1t1zz'],nan
tpt161143i1-flt control. f/ctl rud y ser 16.11.2022 14:48:18 b. bambang 582237 (s172005),['tpt161143i1-flt control. f/ctl rud y ser'],[0.0],['cgk3t3zz'],nan
tpt161144i1-ref hil aml seq 43 f/ctl rud 16.11.2022 14:52:39 b. bambang 582237 (s172005),['tpt161144i1-ref hil aml seq 43 f/ctl rud'],[0.0],['cgk3t3zz'],nan
tpt170238j2-seat belt buckle on cabin at 17.02.2023 11:27:57 mohamad bayu nurjaman (g532557),['tpt170238j2-seat belt buckle on cabin at'],[0.0],['dps1t1zz'],nan
tpt170378j1-maintenance ref hil aml seq 17.03.2023 18:11:00 aa. alqofar 580347 (s167022),['tpt170378j1-maintenance ref hil aml seq'],[2.0],['gah210zz'],nan
tpt170382j1-com satcom fault 17.03.2023 22:29:30 mohamad bayu nurjaman (g532557),['tpt170382j1-com satcom fault'],[0.0],['dps1t1zz'],nan
tpt170382j2-com com satcom fault on ecam 01.04.2023 11:47:26 af. kristian 532763 (s167024),['tpt170382j2-com com satcom fault on ecam'],[8.0],['dps1t1zz'],nan
tpt170387j1-ref cml seq c64 recline seat 18.03.2023 22:21:05 mohamad bayu nurjaman (g532557),['tpt170387j1-ref cml seq c64 recline seat'],[0.0],['dps1t1zz'],nan
tpt170453k1-capt side hand mic u/s 17.04.2024 19:18:25 ma. pratama 581073 (s165028),['tpt170453k1-capt side hand mic u/s'],[0.0],['dps1t1zz'],0
tpt170532k1-during boarding aft cargo lo 18.05.2024 00:47:22 me. azzuri 581022 (s165004),['tpt170532k1-during boarding aft cargo lo'],[9.0],['cgk3t3zz'],nan
tpt170691j1-windshield handle sunvisor c 17.06.2023 14:15:03 pi_ecc (pi_ecc) defect symptoms:- windshield handle sunvisor capt side broken the handle was foud in front of capt sidestick action taken:- lh windshield sunvisor p/n 160-11001-990 nil spare in,['tpt170691j1-windshield handle sunvisor c'],[0.0],['cgk3t3zz'],0
tpt171220j1-elec. idg 2 oil sys fault 17.12.2023 23:13:50 pi_ecc (pi_ecc) defect symptoms:- elec. idg 2 oil sys fault action taken:- ref tsm task 24-20-81-810-963-a do check ground report gcu 2 result high oil level / idg 2 (e2-4000xu) class 1. do check,['tpt171220j1-elec. idg 2 oil sys fault'],[0.0],['cgk3t3zz'],0
tpt180188j1-packbay vent fault 18.01.2023 11:20:04 iprk. yoga 580275 (s167005),['tpt180188j1-packbay vent fault'],[0.0],['dps1t1zz'],nan
tpt180339f1-ref cml c09 l 73 door hinge 18.03.2019 09:29:56 ig. wartana 529800 (s172007),['tpt180339f1-ref cml c09 l 73 door hinge'],[0.0],['cgk3t3c1'],l125400431-500:c5270 (door assy-washbasin)
tpt180886j1-trust reverse no2 fault whil 19.08.2023 22:05:40 pi_ecc (pi_ecc) defect symptoms:- trust reverse no2 fault while landing action taken:- pfr msg 783113 sourse eec2a hard tr stow sw (e2-4104ks1)/junction box (e2-4110ks) tr deploy test c/o nil h,['tpt180886j1-trust reverse no2 fault whil'],[0.0],['syd1t1zz'],nan
tpt181026j1-maintenance found rh taxi / 18.10.2023 20:42:40 do. abriani 581833 (s172019),['tpt181026j1-maintenance  found rh taxi /'],[1.0],['cgk3t3zz'],0
tpt181125j1-cond fwd crg vent fault 18.11.2023 13:30:54 yogie chandra otta (g583090),['tpt181125j1-cond fwd crg vent fault'],[0.0],['sin1t1zz'],nan
tpt181168i1-drg pfc satcom fault 18.11.2022 18:50:33 habiburahman 580888 (s172021),['tpt181168i1-drg pfc satcom fault'],[0.0],['dps1t1zz'],nan
tpt190166g1-air cond fwd crg vent fault 19.01.2020 22:06:57 ha. saputra 532669 (s167019),['tpt190166g1-air cond fwd crg vent fault'],[0.0],['cgk3t3zz'],"4063-18221:c0002 (valve isolation, fwd crg)"
tpt190199j1-maintenance. during bd check 20.01.2023 17:14:08 hamid abdullah (g580305),['tpt190199j1-maintenance. during bd check'],[0.0],['cgk3t3zz'],nan
tpt190790j1-prior to depart from report 22.07.2023 00:51:27 b. bambang 582237 (s172005),['tpt190790j1-prior to depart from report'],[0.0],['cgk3t3zz'],nan
tpt190862e1-cabin h/s door 23 inop 20.08.2018 00:37:34 k. nasrulloh 533468 (s167016),['tpt190862e1-cabin h/s door 23 inop'],[0.0],['cgk1t1zz'],nan
"tpt200479k1-appearedon ground ""eng1 rev 21.04.2024 18:10:41 ma. pratama 581073 (s165028)","['tpt200479k1-appearedon ground ""eng1 rev']",[0.0],['nrt1t1zz'],nan
tpt200548k2-ref cml seq c45 luggage bin 20.05.2024 08:58:15 me. azzuri 581022 (s165002),['tpt200548k2-ref cml seq c45 luggage bin'],[5.0],['cgk3t3zz'],0
tpt200765f1-fak 1r has been used 25.07.2019 08:16:06 bayu prayudha (g580510),['tpt200765f1-fak 1r has been used'],[0.0],['mel1t1zz'],nan
tpt200925j1-ref cml seq c34. life vest container door seat 9ac u/s. action taken:- dps nil spare. seat 9ac consider inop. trf to hil iaw mel 25-20-01a cat d. seat 9ac blocked. 20.09.2023 12:31:29 mohamad bayu nurjaman (g532557),['tpt200925j1-ref cml seq c34. life vest c'],[0.0],['dps1t1zz'],0
tpt200932j1-pallet guide on lh side of f 20.01.2024 10:10:28 pi_ecc (pi_ecc) defect symptoms:- pallet guide on lh side of fwd crg near door area dound deform on arr action taken:- item not affecting cargo loading. item tf to hil ref mel 25-50-09a cat d,['tpt200932j1-pallet guide on lh side of f'],[0.0],['cgk3t3zz'],nan
tpt210114j1-maintenance pilot seat elec 21.01.2023 10:50:51 y. hand 582544 (s167023),['tpt210114j1-maintenance  pilot seat elec'],[5.0],['cgk3t3zz'],nan
tpt210266j1-ref seq 65 34-58 satellite n 22.02.2023 04:39:39 hd. pratomo 580332 (s167011),['tpt210266j1-ref seq 65 34-58 satellite n'],[0.0],['cgk3t3zz'],nan
tpt210357g1-during grd chk cond fwd cgo 22.03.2020 10:14:19 g. kansai (an. cosmas budi setyoko 528859) (cgiak. .,['tpt210357g1-during grd chk cond fwd cgo'],[0.0],['kix1t1zz'],nan
tpt210472j1-whell tire lo pr intermitten 21.04.2023 22:01:38 pi_ecc (pi_ecc) defect symptoms:- whell tire lo pr intermittent in flight action taken:- chk pfr found tire press snsr 8gv1 class 1 do bite test of tpis result ok chk indication ecam tire press,['tpt210472j1-whell tire lo pr intermitten'],[2.0],['cgk3t3a2'],0
tpt210932j1-cargo loader reported the pa 21.09.2023 14:05:24 pi_ecc (pi_ecc) defect symptoms:- cargo loader reported the pallet guide on lh side of fwd cargo near door area found deformed on arrival action taken:- found item not affecting cargo loading .,['tpt210932j1-cargo loader reported the pa'],[0.0],['hkg1t1zz'],nan
tpt210941f1-transfer from cml seq 89 foo 22.09.2019 01:27:58 im. tantra 521711 (s172021),['tpt210941f1-transfer from cml seq 89 foo'],[2.0],['dps1t1zz'],nan
"tpt211110j1-maintenance ref cml seq c49, 21.11.2023 18:07:34 edi jatmoko (g530843)","['tpt211110j1-maintenance ref cml seq c49,']",[0.0],['cgk3t3zz'],nan
tpt211189i1-maintenance during inspectio 22.11.2022 08:27:28 do. abriani 581833 (s172002),['tpt211189i1-maintenance during inspectio'],[0.0],['gah210zz'],nan
tpt220395k1-eng 1 oil chip detected 22.03.2024 11:28:30 bb. santoso 580403 (s167021),['tpt220395k1-eng 1 oil chip detected'],[0.0],['cgk3t3zz'],nan
tpt221135f1-fak from cabin log seq.c001 25.11.2019 09:54:11 z. zihni 581991 (s175003),['tpt221135f1-fak from cabin log seq.c001'],[0.0],['mel1t1zz'],nan
tpt221193i1-wxr/pws 1 can't use 22.11.2022 15:18:09 hw. nugraha 533513 (s167003),"[""tpt221193i1-wxr/pws 1 can't use""]",[0.0],['cgk3t3zz'],nan
tpt221252i1-no 2 wheel pressure no indic 23.12.2022 15:08:46 a. prayogi 580950 (s172021),['tpt221252i1-no 2 wheel pressure no indic'],[0.0],['dps1t1zz'],nan
tpt230279j1-maint ecam cond bulk crg iso 01.04.2023 11:56:25 af. kristian 532763 (s167024),['tpt230279j1-maint ecam cond bulk crg iso'],[8.0],['syd1t1zz'],nan
tpt230571k1-a. ice stby pitot heat shows 25.05.2024 20:24:30 kadek sudarsia (g528744),['tpt230571k1-a. ice stby pitot heat shows'],[0.0],['dps1t1zz'],nan
"tpt230816j1-during bd chk found paper pr 23.08.2023 19:32:40 pi_ecc (pi_ecc) defect symptoms:- during bd chk found paper printer alarm illuminated action taken:- performed chk of printer and printer paper found empty, d/t cgk nil spare trf to hil ref me",['tpt230816j1-during bd chk found paper pr'],[1.0],['cgk3t3e2'],0
tpt230950j1-on wac found tail nav lt sys 29.09.2023 23:04:08 pi_ecc (pi_ecc) defect symptoms:- on wac found tail nav lt sys 1 inop action taken:- to hil as per mel 33-40-04b all nav lt sys 2 checked operative cat c. pls also ref seq 38 and se 20,['tpt230950j1-on wac found tail nav lt sys'],[0.0],['mel1t1zz'],nan
tpt230955f1-general f/o table unable to 26.09.2019 13:49:39 e. sudirman 521712 (s172003),['tpt230955f1-general f/o table unable to'],[0.0],['syd1t1zz'],nan
tpt231256d1-brake sys 2 fault 23.12.2017 20:12:56 in. sudiana 525221 (s172015),['tpt231256d1-brake sys 2 fault'],[0.0],['gah210zz'],nan
tpt240378e1-taxy/to light (cb tripped) 24.03.2018 18:00:26 r. susanto 532728 (s167008),['tpt240378e1-taxy/to light (cb tripped)'],[0.0],['cgk3t3zz'],nan
tpt241261i1-eng1 minor fault after landi 24.12.2022 21:20:06 a. raharjo 532542 (s167011),['tpt241261i1-eng1 minor fault after landi'],[0.0],['dps1t1zz'],nan
tpt250195g1-maintenance l1 door lining h 26.01.2020 09:05:54 g. kansai (an. cosmas budi setyoko 528859) (cgiak. .,['tpt250195g1-maintenance l1 door lining h'],[0.0],['kix1t1zz'],nan
tpt250245g1-on tc found rh slat seal no 25.02.2020 19:26:40 idk. suarjana 525225 (s172001),['tpt250245g1-on tc found rh slat seal no'],[0.0],['dps1t1zz'],nan
tpt250294j1-maintenance nr 2 tire pressu 08.03.2023 10:15:54 ay. saputra 580386 (s167011),['tpt250294j1-maintenance nr 2 tire pressu'],[0.0],['icn1t1zz'],nan
tpt250318k1-during pre flight check found f/o sliding window roller blind broken action taken:- due to cgk nil spare item insert to hil non cat 26.03.2024 12:05:20 d. anugrah 580012 (s167005),['tpt250318k1-during pre flight check foun'],[4.0],['cgk3t3zz'],0
tpt250410k1-predeparture loaders informe 26.04.2024 21:16:50 ma. pratama 581073 (s165045),['tpt250410k1-predeparture loaders informe'],[0.0],['mel1t1zz'],nan
tpt250623f1-frm cabin log c58 fak at doo 27.06.2019 07:47:09 bayu prayudha (g580510),['tpt250623f1-frm cabin log c58 fak at doo'],[0.0],['mel1t1zz'],nan
tpt260202k1-during transit bulk cargo is 26.02.2024 13:48:45 pi_ecc (pi_ecc) defect symptoms:- during transit bulk cargo isolation valve faut action taken:- check pfr no fault detected vc sys test found bulk crg inlet isol valv e 283 hn. d/t nil spare in,['tpt260202k1-during transit bulk cargo is'],[0.0],['cgk3t3zz'],nan
tpt260249g1-dueing bd chk found cond fwd 27.02.2020 02:34:54 j. madzen 580017 (s167001),['tpt260249g1-dueing bd chk found cond fwd'],[0.0],['cgk3t3zz'],nan
tpt260741j1-during wac brake fan 3 is no 28.07.2023 12:11:42 mohamad bayu nurjaman (g532557),['tpt260741j1-during wac brake fan 3 is no'],[0.0],['dps1t1zz'],nan
tpt260836j1- apu fault apu auto shut dow 27.08.2023 17:59:40 mohamad bayu nurjaman (g532557),['tpt260836j1- apu fault apu auto shut dow'],[0.0],['nrt1t1zz'],0
tpt261074j1-acars display unit no 1 u/s 27.10.2023 17:54:59 pi_ecc (pi_ecc) defect symptoms:- acars display unit no 1 u/s action taken:- cb reset but not help trf to hil mel 46-21-02a cat d applied,['tpt261074j1-acars display unit no 1 u/s'],[2.0],['syd1t1e2'],0
tpt261123i1-maintenance 27.11.2022 10:45:32 do. abriani 581833 (s172028),['tpt261123i1-maintenance'],[1.0],['gah210zz'],0
tpt270106g1-brakes ecam brake sys 1 faul 31.01.2020 10:11:10 ps dewi 811482 (s146067),['tpt270106g1-brakes ecam brake sys 1 faul'],[0.0],['mel1t1zz'],nan
tpt270214k1-paper alarm light ill 27.02.2024 22:11:10 kadek sudarsia (g528744),['tpt270214k1-paper alarm light ill'],[1.0],['cgk1t1zz'],0
tpt270899e1-ref cml seq c37 interphone d 27.08.2018 18:16:33 s. christian 533125 (s167025),['tpt270899e1-ref cml seq c37 interphone d'],[0.0],['cgk3t3zz'],nan
tpt271079j1-on transit check found attendant seat aft galley rh side harness frayed action taken:- dps nil spare insert to hil ref mel 25-20-08a cat d 03.11.2023 18:06:17 kadek sudarsia (g528744),"['warning :', 'replace attendant seat belt post aft gal']","[0.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",0
tpt271179j1-comm lh handmike ptt stuck c 02.12.2023 09:56:21 dn. kauthsar 583015 (s172005),['tpt271179j1-comm lh handmike ptt stuck c'],[4.0],['gah210zz'],nan
tpt271281i4-during pre flight apu autosh 28.12.2022 17:55:43 ik. sudana 529812 (s172028),['tpt271281i4-during pre flight apu autosh'],[1.0],['cgk1t1zz'],nan
tpt280151j1--maintenance- during mainten 29.01.2023 01:47:14 do. abriani 581833 (s172030),['tpt280151j1--maintenance- during mainten'],[0.0],['cgk3t3zz'],0
tpt280258f1-ref cml sq 34 in arm smart m 01.03.2019 08:16:20 im. tantra 521711 (s172020),['tpt280258f1-ref cml sq 34 in arm smart m'],[0.0],['dps1t1zz'],nan
tpt280263e2-cabin log c30 f.a.k pos 24 h 28.02.2018 17:13:49 yutrinas 532473 (s144065),['tpt280263e2-cabin log c30 f.a.k pos 24 h'],[3.0],['cgk3t3zz'],nan
tpt280416j1-light lower anti cill lt not 29.04.2023 03:58:59 supriyanto 532471 (s167017),['tpt280416j1-light lower anti cill lt not'],[0.0],['cgk3t3zz'],nan
tpt280752j1-f/o sliding window sunvisor 28.07.2023 13:18:28 mohamad bayu nurjaman (g532557),['tpt280752j1-f/o sliding window sunvisor'],[0.0],['dps1t1zz'],nan
tpt280823f1-inspection remarks l/h wing 29.08.2019 01:44:16 af. kristian 532763 (s167026),['tpt280823f1-inspection remarks l/h wing'],[1.0],['dps1t1zz'],f5746293621600:fape3 (seal)
tpt280995j1-maintenance during bd chk fo 29.09.2023 03:39:37 pi_ecc (pi_ecc) defect symptoms:- maintenance during bd chk found roller blind rh window fix broken action taken:- d/t nil spare insert to hil hil non cat,['tpt280995j1-maintenance during bd chk fo'],[1.0],['cgk3t3a2'],0
tpt281140i1-ref hil cml seq c68 attd sea 29.11.2022 10:50:54 nuryadi 533501 (s172027),['tpt281140i1-ref hil cml seq c68 attd sea'],[0.0],['dps1t1zz'],0
tpt281140i4-ref hil cml seq c68 attd sea 29.11.2022 07:58:38 p. prandana 533597 (s172002),['tpt281140i4-ref hil cml seq c68 attd sea'],[0.0],['dps1t1zz'],0
tpt290337k1-landing gear tire press ind 29.03.2024 20:35:50 kadek sudarsia (g528744),['tpt290337k1-landing gear tire press ind'],[0.0],['dps1t1zz'],nan
tpt290341k1-ins remarks rh taxi tako off 29.03.2024 20:29:40 kadek sudarsia (g528744),['tpt290341k1-ins remarks rh taxi tako off'],[0.0],['dps1t1zz'],nan
tpt290550e1-ref cml seq c15 door of lava 29.05.2018 20:42:35 a fitriansyah 582422 (s111004),['tpt290550e1-ref cml seq c15 door of lava'],[1.0],['cgk1t1zz'],nan
tpt290582j1-rta due to pack bay vent fau 30.05.2023 01:31:48 yogie chandra otta (g583090),['tpt290582j1-rta due to pack bay vent fau'],[0.0],['can1t1zz'],nan
tpt290679j1-maintenance on wac found lh 30.06.2023 14:55:44 d. anugrah 580012 (s167026),['tpt290679j1-maintenance on wac found lh'],[4.0],['hkg1t1zz'],nan
tpt290810e3-seq no 9 still exist after e 30.08.2018 13:40:06 s. christian 533125 (s167019),['tpt290810e3-seq no 9 still exist after e'],[3.0],['cgk3t3zz'],nan
tpt300330j1-vent pack bay vent fault 30.03.2023 21:23:39 martandang eka suranata (g580019),['tpt300330j1-vent pack bay vent fault'],[0.0],['cgk3t3zz'],0
tpt300768e1-ref cml c90 toilet l61 and l 30.07.2018 22:34:05 igmr. gunadi 532418 (s167019),['tpt300768e1-ref ref cml c90 toilet l61 a'],[2.0],['dps1t1zz'],ta9125-00:d1227 (toilet assembly rh)
tpt301046f1-maintenance found electrical 31.10.2019 09:10:13 a.adibta s 581450 (s167015),['tpt301046f1-maintenance found electrical'],[2.0],['cgk3t3zz'],nan
tpt301207i4-during transit check found p 31.12.2022 00:10:33 aa.nuari 581762 (s167017),['tpt301207i4-during transit check found p'],[0.0],['cgk3t3zz'],nan
tpt310139g1-ref seq 38 cockpit door lock 01.02.2020 16:02:11 made. at 581720 (s111003),['tpt310139g1-ref seq 38 cockpit door lock'],[0.0],['dps1t1zz'],nan
tpt310865j1-starting while start eng no 04.09.2023 21:44:59 w. kurniawan 533006 (s167011),['tpt310865j1-starting while start eng no'],[9.0],['cgk3t3zz'],nan
tpt311211j1-during bd chk found both log 01.01.2024 01:34:12 m.i ajiputra 581676 (s167011),['tpt311211j1-during bd chk found both log'],[0.0],['dps1t1zz'],nan
tpt311246e1-apu fault 01.01.2019 10:13:55 garuda indonesia kansai (cgiakix),['tpt311246e1-apu fault'],[0.0],['kix1t1zz'],nan
tpt311254f1-buckle of attd seat post aft 31.12.2019 22:18:12 firmansyah 580271 (s167026),['tpt311254f1-buckle of attd seat post aft'],[0.0],['dps1t1zz'],18-0100k0kzn-10:c1624 (restraint-4pt rotary)
tr #1 fault to reset (class 1),"['do troubleshoot of the failure of the li', 'replace cmc']","[6.0, 0.0]","['gah320e1', 'gah320e1']",nan
transfer anti ice duct from esn 42170 to esn 42169,"['obey all of the warnings, cautions and n', 'remove anti ice duct', 'install anti ice duct', 'do leak test connection area', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 2.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer btmu 3gw1 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove btmu 3gw1', 'install btmu 3gw1', 'do the test', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer btmu 4gw2 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove btmu 4gw2', 'install btmu 4gw2', 'do the test', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer eec cooling duct (pn: fk14240) from esn 42170 to esn 42169 due to deformation,"['obey all of the warnings, cautions and n', 'remove eec cooling duct', 'install eec cooling duct', 'do leak check connection area', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer exhaust plug from eesn 42170 to esn 42169,"['obey all of the warnings, cautions, and', 'remove exhaust plug from old eng sn 4217', 'install exhaust plug to new eng sn 42169', 'restore area back to its serviceable con']","[0.1, 3.0, 3.0, 0.5]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer idg qad from esn 42170 to esn 42169,"['obey all of the warnings, cautions and n', 'remove idg qad', 'install idg qad', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer ip8 air tube from esn 42170 to esn 42169,"['obey all of the warnings, cautions and n', 'remove ip8 air tube', 'install ip8 air tube', 'do leak test connection area', 'restore area back to its serviceable con']","[0.1, 3.0, 3.0, 2.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer lh lg earthing pin from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove earthing pin from old lg', 'install earthing pin to the new lg', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer lh lg eccentric earthing pin from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove eccentric pin from the old lg', 'install eccentric pin to the new lg', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer lh lg manifold altn brake from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove alternate brake manifold from the', 'install alternate brake manifold to the', 'pressurize alternate brake return accumu', 'bleeding the alternate brake system', 'do operational test the alternate brakin', 'do leak check to make sure no hyd leakag', 'restore area back to its serviceable con']","[0.1, 3.0, 4.0, 2.0, 2.0, 1.0, 1.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer lh lg manifold norm brake from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove normal brake manifold from the ol', 'install normal brake manifold to the new', 'bleeding the normal brake system', 'do operational test the normal braking s', 'do leak check to make sure no hyd leakag', 'make sure no air in the green hyd system', 'do func test of the tachometers', 'restore area back to its serviceable con']","[0.1, 3.0, 4.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer lh lg tachometer #1 pn c20105100-1 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove wheel speed tachometer#1', 'install wheel speed tachometer#1', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer lh lg tachometer #2 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove wheel speed tachometer#2', 'install wheel speed tachometer#2', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer lh lg tachometer #5 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove wheel speed tachometer#5', 'install wheel speed tachometer#5', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer lh lg tachometer #6 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions and n', 'remove wheel speed tachometer#6', 'install wheel speed tachometer#6', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer lh nlg runway turnoff light from nlg sn 12b15776 to new nlg sn 13b17342,"['obey all of the warnings, cautions and n', 'remove light lh runway turnoff', 'install light lh runway turnoff', 'do operational test of the runway turnof', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer lh nlg take off & taxi light from nlg sn 12b15776 to new nlg sn 13b17342,"['obey all of the warnings, cautions and n', 'remove take off & taxi light', 'install take off & taxi light', 'do operational test of the taxi/take off', 'restore area back to its serviceable con']","[0.1, 5.0, 5.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
transfer lower prv and hpv bleed duct from esn 42170 to esn 42169,"['obey all of the warnings, cautions, and', 'remove duct at lower prv and hpv', 'install duct at lower prv and hpv', 'do leak test', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 2.0, 0.1]","['gah320a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer rh lg manifold altn brake from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove alternate brake manifold from the', 'install alternate brake manifold to the', 'pressurize alternate brake return accumu', 'bleeding the alternate brake system', 'do operational test the alternate brakin', 'do leak check to make sure no hyd leakag', 'restore area back to its serviceable con']","[0.1, 3.0, 4.0, 2.0, 2.0, 1.0, 1.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer rh lg manifold norm brake from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove normal brake manifold from the ol', 'install normal brake manifold to the new', 'bleeding the normal brake system', 'do operational test the normal braking s', 'do leak check to make sure no hyd leakag', 'make sure no air in the green hyd system', 'do func test of the tachometers', 'restore area back to its serviceable con']","[0.1, 3.0, 4.0, 3.0, 2.0, 2.0, 2.0, 3.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']",0
transfer rh lg tachometer #3 from lg sn mdl1342 to new lg sn mdl1364,"['obey all of the warnings, cautions, and', 'remove wheel speed tachometer#3', 'install wheel speed tachometer#3', 'do functional test of the tachometers', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 1.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",0
