finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
rh door 714 fwd side paint peel off,['restore the surface protection and apply'],[6.0],['w403'],"41122-908w-0-428:d2603 (alextt-h/s basecoat white bac 7067))
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)
41114-090g-9-122:d2603 (alexit-clearcoat 411-14 (colourless))",['wspt'],805499175
rh elevator bonding leads broken (4ea),"['obey all of the warnings, cautions and n', 'replace rh elevator bonding', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",e0092-10-200nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805430851
rh elevator cover hoist point missing 3ea,['cover by jc livery painting 805461103'],[9.0],['w403'],"asna2879a050:f5442 (blanking cap)
asna2879a050:f5442 (blanking cap)",['wspt'],805464856
rh elevator found paint peeled off,['restore the surface protection and apply'],[2.0],['w403'],"pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800b707ctthinner:gmfdm (paint-l/gray)",['wspt'],805468784
rh elevator hinge #1 found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding jumper at rh elevator hi', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",abs1509a180nn:fape3 (braid),"['gah3', 'gah3', 'gah3', 'gah3']",805265305
rh elevator hinge #4 found bonding leads broken,['cover by mdr no 805264025'],[0.0],['gah320zz'],,['gah3'],805264239
rh elevator hinge #5 found bonding leads broken,['cover by mdr no 805264024'],[0.1],['gah320zz'],,['gah3'],805264237
rh elevator hinge 3 bonding plate crack,"['obey all of the warnings, cautions and n', 'replace plate', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",f5598190020200:fape3 (plate),"['gah3', 'gah3', 'gah3', 'gah3']",805431681
rh elevator hinge bonding broken 1ea,"['obey all warnings, cautions and notes as', 'replace bonding at rh elevator hinge', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",e0092-10-200nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805571364
rh elevator hinge to reaction bar found bolt (2 ea) and bushing (3 ea) scratch,"['obey all of the warnings, cautions, and', 'replace bolt and bushing', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","f5598161220000:fape3 (bush)
f5598172120052:fape3 (bolt)
f5598172120052:fape3 (bolt)","['gah3', 'gah3', 'gah3']",805263606
rh elevator hinge#3 found bolt scratch,"['obey all of the warnings, cautions, and', 'replace bolt', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']",f5598173420000:fape3 (bolt),"['gah3', 'gah3', 'gah3']",805263607
rh elevator hinge#4 found bolt (1 ea) and bushing scratch (2 ea),"['obey all of the warnings, cautions, and', 'replace bolt and bushing', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","f5598170120051:fape3 (bolt)
f5598161020000:fape3 (bush)","['gah3', 'gah3', 'gah3']",805263608
rh elevator hinge#4 found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at rh elevator hinge#4', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",abs1509a200nn:fape3 (braid),"['gah3', 'gah3', 'gah3', 'gah3']",805264025
rh elevator hinge#5 found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at rh elevator hinge#5', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",e0092-10-180nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805264024
rh elevator i/b reaction bar found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at rh elevator i/b react', 'do bonding jumper resistance check', 'restore area back to its serviceable con', 'cover by mdr no 805264027']","[0.5, 2.0, 1.0, 0.5, 0.1]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1', 'gah320zz']",e0092-10-160nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805264027
rh elevator lower and upper fore filler peel off,"['obey all of the warnings, cautions, and', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'restore area back to its serviceable con']","[0.1, 8.0, 4.0, 0.1]","['w302', 'w302', 'w403', 'w403']",hysolea960f:71410 (pore filler),"['wsst', 'wsst', 'wspt', 'wspt']",805464855
rh elevator reference sticker blur,"['obey all of the warnings, cautions and n', 'make sure that the elevator are in the c', 'install tail cone reference triangle', 'restore area back to its serviceable con']","[0.5, 3.0, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']",nsa9502-00:f6198 (reference triangle),"['gah3', 'gah3', 'gah3', 'gah3']",805264554
rh elevator static discharge type b broken 1 ea,"['obey all of the warnings, cautions and n', 'replace static discharger', 'do static discharger resistance test', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",2-16sc1:u1907 (dischrgr),"['gah3', 'gah3', 'gah3', 'gah3']",805375312
rh elevator to horstab hinge fitting#1 found bolt and bushing (1 ea) found scratch,"['obey all of the warnings, cautions and n', 'replace bolt and bushing', 'restore area back to its serviceable con']","[0.5, 3.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","f5598161120000:fape3 (bush)
f5598170620051:fape3 (bolt)","['gah3', 'gah3', 'gah3']",805265538
rh elevator tranducer rod end corrossion,['covered by order 805430850'],[1.0],['gah310zz'],,['gah3'],805436652
rh elevator upper side found paint peel off,['cover by jobcard paint external livery o'],[2.0],['gah320a1'],,['gah3'],805263609
rh elevator upper side found water ingress near screw between 10-11,"['obey all the warnings, cautions, and not', 'measure the area water ingress.', 'this task is category a', 'apply a/c exterior paint as existing col']","[0.0, 4.0, 30.0, 12.0]","['w302', 'w302', 'w302', 'w403']","ec3524ba-blue:76381 (epoxy edge/adhepin blue void filling com)
ea934na:33564 (epoxy resin (spec as9174016))
ea9396:33564 (adhesive)
at200y12:fape3 (vacuum bag sealant tape)
wl7400:qa251 (plastic vacuum/vacuum bag film)
awn76050:qa251 (bleeder)
blb60100:53912 (nylon - bleeder-lease-b-60-100yds)
pac33cf-4360-3031-11l:92108 (primer beidge)
hrh-10-316-20-300:51344 (nomex honeycomb core 4.8 mm32 kg/m3 3 in)
ca8800b707ctthinner:gmfdm (paint-l/gray)
g0926-d-1304-tct:c5543 (carbon fabric 8h)","['wsst', 'wsst', 'wsst', 'wspt']",805439457
rh empeange skin dent btw fr73-74 and 50mm approx under lap joint,"['read and fully understad the specified m', 'do chemical paint strippping surrounding', 'do dvi to ensure remain defect, defect t', 'measure dent parameters and justify limi', 'do hfec inspection to ensure crack free', 'this repair is define as repair category', 'restore surface protection and paint fin', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 4.0, 2.0, 1.0, 2.0, 0.0]","['gah330s1', 'w403', 'gah330s1', 'gah330s1', 'w807', 'gah330s1', 'w403', 'w403']",t5351:16837 (paint stripper/remover turco5351),"['gah3', 'wspt', 'gah3', 'gah3', 'wsnc', 'gah3', 'wspt', 'wspt']",805386547
rh fix door mlg has paint peel off,['do repaint coating on the surface'],[8.0],['w403'],"pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800-b5365-ct1:92108 (white paint - thinner)",['wspt'],805516288
rh fix fairing #2 found erosion,"['obey all warnings, cautions and notes as', 'remove rh fix fairing #2', 'do detailed visual inspection to determi', 'do permanent repair to rh wing flap trac', 'apply a/c exterior paint as existing col', 'install rh fix fairing #2', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 6.0, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'w302', 'w302', 'w403', 'gah330a1', 'gah330a1']","ca8000-b707:f6137 (top coat grey bac707)
ea9396:33564 (adhesive)
120-volan:04621 (glass fiber bms 9-3 tyd cl7 st120 38"")
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3']",805467853
rh fix fairing #3 found erosion,"['obey all warnings, cautions and notes as', 'remove rh fix fairing #3', 'do detailed visual inspection to determi', 'do permanent repair to rh wing flap trac', 'apply a/c exterior paint as existing col', 'install rh fix fairing #3', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 6.0, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'w302', 'w302', 'w403', 'gah330a1', 'gah330a1']","ca8000-b707:f6137 (top coat grey bac707)
ea9396:33564 (adhesive)
120-volan:04621 (glass fiber bms 9-3 tyd cl7 st120 38"")
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3']",805467942
rh fix fairing #3 weather seal torn 1 ea,"['obey all of the warnings, cautions and n', 'replace seal', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",f5757421402000:fape3 (seal),"['gah3', 'gah3', 'gah3']",805467944
rh fix fairing #4 found erosion,"['obey all warnings, cautions and notes as', 'remove rh wing fix fairing #4', 'do detailed visual inspection to determi', 'do permanent repair to rh wing flap trac', 'apply a/c exterior paint as existing col', 'install rh fix fairing #4', 'do the adjustment of the rat spring stru', 'adjustment of the rat door in relation t', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 6.0, 2.0, 2.0, 1.0, 1.0, 0.5]","['gah330a1', 'gah330a1', 'w302', 'w302', 'w403', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","ms24665-88:96906 (cotter pin)
ca8000-b707:f6137 (top coat grey bac707)
ea9396:33564 (adhesive)
120-volan:04621 (glass fiber bms 9-3 tyd cl7 st120 38"")
ln29557ka16-75:d8442 (shim)
pac33cf-4360-3031-11l:92108 (primer beidge)","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3']",805467945
rh fix fairing #4 lip seal torn 3 ea,"['obey all of the warnings, cautions and n', 'replace seal', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","f5757412920400:fape3 (seal)
f5757415720000:fape3 (seal)","['gah3', 'gah3', 'gah3']",805467946
rh fix fairing #4 rubber seal door rat torn,"['obey all of the warnings, cautions and n', 'replace seal', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']",dan241-01:fape3 (section),"['gah3', 'gah3', 'gah3']",805467947
rh fix fairing #5 found erosion,"['obey all warnings, cautions and notes as', 'remove rh fix fairing #5', 'do detailed visual inspection to determi', 'do permanent repair to rh wing flap trac', 'apply a/c exterior paint as existing col', 'install rh fix fairing #5', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 6.0, 2.0, 2.0, 0.5]","['gah330a1', 'gah330a1', 'w302', 'w302', 'w403', 'gah330a1', 'gah330a1']","ca8000-b707:f6137 (top coat grey bac707)
ea9396:33564 (adhesive)
120-volan:04621 (glass fiber bms 9-3 tyd cl7 st120 38"")
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))","['gah3', 'gah3', 'wsst', 'wsst', 'wspt', 'gah3', 'gah3']",805467941
rh fix fairing #5 lip seal torn 3 ea,"['obey all of the warnings, cautions and n', 'replace seal', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","f5757412920600:fape3 (seal)
f5757415520000:fape3 (seal)","['gah3', 'gah3', 'gah3']",805467943
rh footrest damper pos cockpit capt seat and f/o seat found weak (need 2 ea),"['obey all of the warnings, cautions, and', 'do replacement of the actuator of the fo', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']","asna2151-02:f6198 (buffer)
asna2151-02:f6198 (buffer)","['gah3', 'gah3', 'gah3']",805491606
rh fuselage skin scratch around pax window btw fr53 - fr53.1 between stgr 21 - 22,"['note :', 'blend out damage & do smooth polished co', 'do hfec inspection to ensure crack free', 'perform skin grid mapping 10 x 10 mm at', 'measure initial and remain skin thicknes', 'damage assesment :', 'restore surface protection and paint fin']","[0.1, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0]","['gah330s1', 'gah320s1', 'w807', 'w807', 'w808', 'gah320s1', 'w403']",,"['gah3', 'gah3', 'wsnc', 'wsnc', 'wsnc', 'gah3', 'wspt']",805277861
"rh horstab connector found surface light corrosion fin no 33qj-a,134qt- a,3cs2-a,3cs2-c,3cs2-b,2cs2-a,2cs2-c,2cs2-b,4cs2-a,4cs2-b","['obey all of the warnings, cautions and n', 'do clean up connector fin no 33qj-a,134q', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1']",,"['gah3', 'gah3', 'gah3']",805382434
rh horstab l/e filler errosion,"['obey all of the warnings, cautions, and', 'do perform permanent repair on damage ar', 'restore the surface protection.', 'restore area back to its serviceable con']","[0.1, 10.0, 2.0, 0.1]","['w302', 'w302', 'w403', 'w403']",hysolea960f:71410 (pore filler),"['wsst', 'wsst', 'wspt', 'wspt']",805343687
rh horstab l/e panel 341 bt plate nut broken 3ea,"['obey all of the warnings, cautions, and', 'replace broken plate nut', 'restore area back to its serviceable con']","[0.5, 1.0, 0.5]","['gah310s1', 'gah310s1', 'gah310s1']","ms21060-3:96906 (nut)
ms20426ad3-4:81205 (rivet (tbr))","['gah3', 'gah3', 'gah3']",805466266
rh horstab l/e panel 341 bt was erosion,"['obey all of the warnings, cautions and n', 'remove panel 341bt a rh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel 341bt a rh horstab leading', 'restore area back to its serviceable con']","[0.5, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467533
rh horstab l/e panel 341 ct was erosion,"['obey all of the warnings, cautions and n', 'remove panel 341ct a rh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel 341ct a rh horstab leading', 'restore area back to its serviceable con']","[0.5, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467535
rh horstab l/e panel 341 dt was erosion,"['obey all of the warnings, cautions and n', 'remove panel 341dt a rh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel 341dt a rh horstab leading', 'restore area back to its serviceable con']","[0.5, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467537
rh horstab l/e panel 341 et was erosion,"['obey all of the warnings, cautions and n', 'remove panel 341et a rh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel 341et a rh horstab leading', 'restore area back to its serviceable con']","[0.5, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467538
rh horstab l/e panel 341bt plat found corrosion,"['read and fully understad the specified m', 'blend out light corrosion.', 'restore surface protection and paint fin', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.0]","['gah310s1', 'gah310s1', 'w403', 'gah330a1']","ca8000-b707:f6137 (top coat grey bac707)
pac33cf-4360-3031-11l:92108 (primer beidge)","['gah3', 'gah3', 'wspt', 'gah3']",805385782
rh horstab l/e panel 341ct need re-sealent,"['obey all warnings, cautions, and notes a', 're-seal rh horstab l/e panel 341ct', 'restore area back to its serviceable con']","[1.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3', 'gah3']",805393379
rh horstab l/e panel washer and screw pn : nas1153 was broken 10 ea,"['obey all of the warnings, caution, and n', 'replace rh horstab l/e panel washer and', 'restore area back to its serviceable con', 'obey all of the warnings, cautions, and', 'replace washer and screw rh horstab l/e', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1, 0.1, 2.0, 0.5]","['gah310a1', 'gah330a1', 'gah330a1', 'gah310a1', 'gah330a1', 'gah330a1']","dan254a4x7x9d:fape3 (rivet)
nas1153v6:80205 (screw)
nas1169t10l:80205 (washer)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805466267
rh horstab leading edge tip paint peel off,"['obey all of the warnings and cautions', 'do repaint coating on the surface', 'restore area back to its serviceable con']","[0.1, 9.0, 0.0]","['w403', 'w403', 'w403']","77702-054569:91342 (aviox - grey bac707)
hs2121cf:91342 (aerodur hs2121cf base)","['wspt', 'wspt', 'wspt']",805574918
rh horstab static discharge type a broken 2 ea,"['obey all of the warnings, cautions and n', 'replace static discharger', 'do static discharger resistance test', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",2-14sc1:u1907 (dischrgr),"['gah3', 'gah3', 'gah3', 'gah3']",805375310
rh horstab t/e hinge bearing #1 migration,"['obey all of the warnings, cautions and n', 'replace the elevator hinge-arm end-fitti', 'restore area back to its serviceable con']","[0.5, 3.0, 0.1]","['gah320a1', 'gah320a1', 'gah310a1']","ms14102-10:96906 (bearing)
ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
ms24665-18:96906 (cotter pin)
nsa5101-027:f5442 (sleeve)
f5598021000600:fape3 (fitting assy)","['gah3', 'gah3', 'gah3']",805264546
rh horstab t/e hinge bearing #2 migration,"['obey all of the warnings, cautions and n', 'replace the elevator hinge-arm end-fitti', 'restore area back to its serviceable con']","[0.5, 2.0, 0.1]","['gah320a1', 'gah320a1', 'gah310a1']","ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
f5598021000600:fape3 (fitting assy)","['gah3', 'gah3', 'gah3']",805264547
rh horstab t/e hinge bearing #3 migration,"['obey all of the warnings, cautions, and', 'replace hinge arm fitting', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320a1', 'gah320a1', 'gah310a1']","ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
f5598021000600:fape3 (fitting assy)","['gah3', 'gah3', 'gah3']",805264550
rh horstab t/e lower side found paint peel off,['cover by jobcard paint external livery o'],[0.5],['gah320a1'],"ms14102-14:96906 (bearing)
ms14102-14:96906 (bearing)",['gah3'],805264549
rh horstab t/e outboard panel paint peel off,['cover by jobcard paint external livery o'],[0.5],['gah320a1'],as20627:u1653 (nut),['gah3'],805264552
rh horstab t/e panel 344ab found screw and plate nut broken 1 ea,"['obey all warnings, cautions, and notes a', 'remove broken screws', 'replace broken plate nut', 'install new screws']","[1.0, 6.0, 4.0, 2.0]","['gah320s1', 'gah320s1', 'gah320s1', 'gah320a1']","dan169e3-11:d8518 (screw)
ms21060l3:96906 (nut)
ms21060l3:96906 (nut)
dan169e3-14:d8518 (screw)
abs0112-24-05:fape3 (rivet)
abs0112-24-05:fape3 (rivet)","['gah3', 'gah3', 'gah3', 'gah3']",805271689
rh horstab tip found paint peel off,['restore the surface protection and apply'],[0.1],['w403'],"pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800b707ctthinner:gmfdm (paint-l/gray)",['wspt'],805425098
rh horstab tip found screw broken 10 ea,"['obey all of the warnings, cautions and n', 'replace screw at rh horstab tip', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","nas1153v3:80205 (screw)
nas1153v4:80205 (screw)
nas1169t10l:80205 (washer)","['gah3', 'gah3', 'gah3']",805265536
rh horstab tip panel leading edge paint peel off,['cover by livery jc 805258901'],[2.0],['w403'],,['wspt'],805258777
rh horstab tip screw broken 20ea,"['obey all of the warnings, caution, and n', 'replace rh horstab tip screw', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","nas1153v3:80205 (screw)
nas1153v4:80205 (screw)","['gah3', 'gah3', 'gah3']",805431670
rh horstab trailing edge corner found light corrosion,"['notice :,,', 'do a detailed visual inspection (dvi) to', 'notify damage length and justify damage', 'damage assessment :', 'blend out light corrossion', 'measure rework mapping area adjacent to', 'do hfec inspect for any crack', 'fill any gap for aerodynamic smoothness', 'apply appropriate surface protection and', 'caution:,,', 'engineering notes :']","[0.1, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'w807', 'gah330s1', 'w403', 'gah330s1', 'gah330s1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'wsnc', 'gah3', 'wspt', 'gah3', 'gah3']",805535472
rh l/e elevator bonding broken 2ea,"['obey all of the warnings, cautions, and', 'replace bonding', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 6.0, 4.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0092-10-200nn:f5442 (lead)
en3155-019f2018:i9005 (contact)
abs0901r200:fape3 (clamp)
abs1509a200nn:fape3 (braid)
abs0901r145:fape3 (clamp)
nsa5122-3-045:f5442 (bushing-shouldered)","['gah3', 'gah3', 'gah3', 'gah3']",805468594
rh landing gear door openning handle shear pin broken,"['obey all of the warnings, cautions, and', 'replace shear pin', 'do functional test of the open and close', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.5]","['gah210a1', 'gah210a1', 'gah210a1', 'gah210a1']",f3231527320000:fape3 (pin),"['gah2', 'gah2', 'gah2', 'gah2']",804775762
rh lapf rivet broken 7 ea,"['read and fully understad the specified m', 'remove lapf for repair access.', 'replace looses fasteners.', 'install lapf and restore access.', 'restore area back to its serviceable con', 'covered by order no. 805474676']","[0.1, 2.0, 8.0, 2.0, 0.0, 0.0]","['gah310a1', 'gah330a1', 'gah330s1', 'gah330a1', 'gah330a1', 'gah330a1']","cr2262-5-4:fape3 (rivet)
cr2262-5-5:fape3 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805474676
rh leading edge elevator bonding broken 7 ea,"['obey all warnings, cautions and notes as', 'replace bonding at rh elevator leading e', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']","abs1509a200nn:fape3 (braid)
abs1509a180nn:fape3 (braid)","['gah3', 'gah3', 'gah3', 'gah3']",805378840
rh leading edge horstab lower side filler errosion,"['obey all warnings, cautions, and notes a', 'do detailed visual inspection to determi', 'perform permanent repair to the damage a', 'apply a/c exterior paint as existing col']","[1.0, 4.0, 16.0, 3.0]","['w302', 'w302', 'w302', 'w403']","ca8000-b707:f6137 (top coat grey bac707)
hysolea960f:71410 (pore filler)
pac33-4355-3600:92108 (polyurethane primer (4355/3600/11ltkt))","['wsst', 'wsst', 'wsst', 'wspt']",805439767
rh logo light not ill,"['obey all of the warnings, cautions, and', 'replace lamp rh logo light', 'do a test rh logo light', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.5]","['gah310e1', 'gah330e1', 'gah330e1', 'gah330e1']","hlx64621:017j3 (lamp (prefer use osram product))
hlx64621:017j3 (lamp (prefer use osram product))","['gah3', 'gah3', 'gah3', 'gah3']",805467685
rh low baffle (pn : f5331718000100) found fastener missing 3ea at rh mlgwheel well,"['obey all of the warnings, cautions, and', 'install bolt and washer', 'restore area back to its serviceable con']","[0.1, 1.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","abs0114t3-8:fape3 (bolt)
nsa5379-3c:f5442 (washer)","['gah3', 'gah3', 'gah3']",805477068
rh lower eng scan not ill 1 ea,"['obey all warnings, cautions and notes as', 'replace the lamp in the rh engine scan l', 'do operational test of the wing and engi', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",hlx64621:017j3 (lamp (prefer use osram product)),"['gah3', 'gah3', 'gah3', 'gah3']",805463421
rh main and stdby pump fairing all screw corrosion (21 ea),"['obey all of the warnings, cautions and n', 'replace screw rh main and stby pump fair', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","nas1790-3r4:80205 (bolt)
nas1790-3r5:80205 (bolt)
nas1790-3r15:80205 (bolt)
nas1790-3r15:80205 (bolt)","['gah3', 'gah3', 'gah3']",805375178
rh main gear door closure pressure tube clamp block missing at rh mlg wheel well,"['obey all warnings, cautions and notes as', 'completed clamp block at rh mlg wheel we', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']",f0003155700000:fape3 (clmpblck),"['gah3', 'gah3', 'gah3']",805425812
rh main gear door opening pressure tube bonding lead broken at rh mlg wheel well,"['obey all of the warnings, cautions and n', 'replace bonding jumper', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0088-10-80:f5442 (lead)
e0088-10-80:f5442 (lead)","['gah3', 'gah3', 'gah3', 'gah3']",805425811
rh mlg aft fitting stopper chafing,"['notice:', 'damage assessment:', 'remove mlg door stop bracket', 'perform replacement of shim', 'apply appropriate surface treatment and', 'install mlg door stop bracket']","[1.0, 1.0, 4.0, 4.0, 2.0, 4.0]","['gah320s1', 'gah320s1', 'gah320a1', 'gah320s1', 'w403', 'gah320a1']","asna2051dcj3210:f5442 (rivet flush head)
asna2051dcj3210:f5442 (rivet flush head)
f5281050320400:fape3 (shim)
f5281050320400:fape3 (shim)","['gah3', 'gah3', 'gah3', 'gah3', 'wspt', 'gah3']",805265400
